ophys_experiment_id,equipment_name,full_genotype,mouse_id,reporter_line,driver_line,sex,age_in_days,cre_line,indicator,session_number,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,ophys_session_id,behavior_session_id,ophys_container_id,project_code,imaging_depth,targeted_structure,date_of_acquisition,session_type,file_id
958527471,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,210.0,Sst-IRES-Cre,GCaMP6f,3.0,0,67.0,2,954954402,953982960,1018028345,VisualBehaviorMultiscope,225,VISp,2019-09-24 16:00:00.000000,OPHYS_3_images_A,1085402115
958527474,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,210.0,Sst-IRES-Cre,GCaMP6f,3.0,0,67.0,2,954954402,953982960,1018028339,VisualBehaviorMultiscope,75,VISp,2019-09-24 16:00:00.000000,OPHYS_3_images_A,1085402113
958527479,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,210.0,Sst-IRES-Cre,GCaMP6f,3.0,0,67.0,2,954954402,953982960,1018028354,VisualBehaviorMultiscope,150,VISl,2019-09-24 16:00:00.000000,OPHYS_3_images_A,1085402124
958527485,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,210.0,Sst-IRES-Cre,GCaMP6f,3.0,0,67.0,2,954954402,953982960,1018028351,VisualBehaviorMultiscope,75,VISl,2019-09-24 16:00:00.000000,OPHYS_3_images_A,1085402079
958527464,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,210.0,Sst-IRES-Cre,GCaMP6f,3.0,0,67.0,2,954954402,953982960,1018028342,VisualBehaviorMultiscope,150,VISp,2019-09-24 16:00:00.000000,OPHYS_3_images_A,1085402137
956941846,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,212.0,Sst-IRES-Cre,GCaMP6f,3.0,1,68.0,3,955775716,956010809,1018028339,VisualBehaviorMultiscope,75,VISp,2019-09-26 08:44:37.199778,OPHYS_3_images_A,1085401535
956941841,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,212.0,Sst-IRES-Cre,GCaMP6f,3.0,1,68.0,3,955775716,956010809,1018028342,VisualBehaviorMultiscope,150,VISp,2019-09-26 08:44:37.199778,OPHYS_3_images_A,1085401579
956941844,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,212.0,Sst-IRES-Cre,GCaMP6f,3.0,1,68.0,3,955775716,956010809,1018028345,VisualBehaviorMultiscope,225,VISp,2019-09-26 08:44:37.199778,OPHYS_3_images_A,1085401552
957759562,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,213.0,Sst-IRES-Cre,GCaMP6f,4.0,0,0.0,4,957020350,957032492,1018028342,VisualBehaviorMultiscope,150,VISp,2019-09-27 08:28:05.415005,OPHYS_4_images_B,1085398531
957759576,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,213.0,Sst-IRES-Cre,GCaMP6f,4.0,0,0.0,4,957020350,957032492,1018028360,VisualBehaviorMultiscope,300,VISl,2019-09-27 08:28:05.415005,OPHYS_4_images_B,1085398256
957759572,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,213.0,Sst-IRES-Cre,GCaMP6f,4.0,0,0.0,4,957020350,957032492,1018028357,VisualBehaviorMultiscope,225,VISl,2019-09-27 08:28:05.415005,OPHYS_4_images_B,1085398490
957759566,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,213.0,Sst-IRES-Cre,GCaMP6f,4.0,0,0.0,4,957020350,957032492,1018028339,VisualBehaviorMultiscope,75,VISp,2019-09-27 08:28:05.415005,OPHYS_4_images_B,1085397178
957759574,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,213.0,Sst-IRES-Cre,GCaMP6f,4.0,0,0.0,4,957020350,957032492,1018028351,VisualBehaviorMultiscope,75,VISl,2019-09-27 08:28:05.415005,OPHYS_4_images_B,1085396688
957759570,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,213.0,Sst-IRES-Cre,GCaMP6f,4.0,0,0.0,4,957020350,957032492,1018028354,VisualBehaviorMultiscope,150,VISl,2019-09-27 08:28:05.415005,OPHYS_4_images_B,1085397104
